LOTOCV_bladder	LOTOCV_bonemarrow	LOTOCV_brain	LOTOCV_breast	LOTOCV_colonsigmoid	LOTOCV_colontransverse	LOTOCV_heart	LOTOCV_hypothalamus	LOTOCV_kidney	LOTOCV_liver	LOTOCV_lung	LOTOCV_lymphnodes	LOTOCV_ovary	LOTOCV_pancreas	LOTOCV_prostate	LOTOCV_skin	LOTOCV_stomach	LOTOCV_testis	LOTOCV_adrenal.gland	LOTOCV_aorta	LOTOCV_spleen	LOTOCV_large.intestine	LOTOCV_small.intestine	LOTOCV_trachea	LOTOCV_thyroid	LOTOCV_uterus	full.model
(Intercept)	3.94348850272745	3.92291588844483	4.04878649986662	3.85939629444287	3.83476818048937	3.85202000161358	3.87478003168577	3.90769927834607	3.86319357826461	3.78251126714216	3.95843213980243	3.9264740324762	3.74966946343344	3.85653827927171	3.81340292106455	3.80801525224617	3.79893132533214	3.92630421926737	3.84618910645867	3.87211492630609	3.84930357326695	3.84143739250292	3.84297498150703	3.84568281514573	3.88067926096864	3.83563192612782	3.84717404405988
chr1:858000-860000	0	0	-0.00462901103853832	0	0	0	0	0	0	0	0	0	-0.000446989801282491	-0.00146962806944785	0	0	0	-0.00747558037717283	0	0	0	-0.00190203397864929	0	0	0	0	0
chr1:908000-910000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0274318538000542	0	0	0	0	0	0	0	0	0	0
chr1:1462000-1464000	0	0	-0.00214992114211277	0	-0.0129523054703288	-0.0149184824844316	-0.019067835827006	0	0	0	-0.020321694694802	0	0	0	-0.00881667115663033	0	0	-0.0167538766030987	0	0	-0.00109440095197006	0	0	0	-0.000693253442142598	-0.0111542435948041	0
chr1:1464000-1466000	-0.0807771674620344	-0.047672337126086	-0.0900271289107452	-0.0230932415105683	-0.0603408554913767	-0.0789339164895691	-0.0445989415120859	-0.0703773973528395	-0.0613204293325773	-0.0821510477452708	-0.0478810091507359	-0.0888383292756065	-0.0521684825997898	-0.05881229057264	-0.0788195909303863	-0.0588861080361029	0	-0.0563407980473958	-0.0724288737338287	-0.0726294190066623	-0.0734520814279173	-0.0683419811924858	-0.0773230071257215	-0.0729530650316907	-0.0642698117899055	-0.0780979519287314	-0.0731790116552914
chr1:3066000-3068000	0	0	0	0	0	0	0	-0.00163750011701639	0	0	-0.0143822151609234	0	0	0	0	0	0	0	0	-3.76107181680736e-05	0	0	-0.00234285811819614	0	0	0	0
chr1:3414000-3416000	0	0	0	0	0	0	0	0	0	0	0	0	0.00928277404714254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:10742000-10744000	0	0	0	0	0	0.00940824789459684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:15826000-15828000	0.0207461437666381	0.0055677799286391	0.0258933693290854	0	0.00438754395223278	0.0035423671851411	0.0174647093222278	0.00383401181607146	0.00906970954290799	0.0107639041712244	0	0.02665392238589	0.0447802040500761	0	0.0143124859558647	0.0305255756664428	0	0	0.0129327860189378	0.0105299678947443	0.012272165878327	0.00824636016264961	0.0126341691390005	0.0127198148828241	0.0108968307423664	0.0183942715972412	0.0116753769617831
chr1:16758000-16760000	0	-0.0247367770106767	-0.00768208600675095	-0.000804420028069939	-0.0244793826507206	-0.0251761775082274	-0.0106266214343482	-0.0261758300937919	-0.00322274828933035	-0.0243311405931606	-0.0367357075240265	-0.0243576862899264	-0.0378200061913803	0	-0.0196488706080459	-0.0291274708329954	0	-0.0314754279972871	-0.0263055148388688	-0.0274442439401126	-0.0300172787677512	-0.0295301224992916	-0.0250820195331739	-0.0314534435383652	-0.0210067570761064	-0.0328377930994006	-0.0277410313163365
chr1:17936000-17938000	0	0	0	0	0	0	0	0	0	0	0.0109674954303601	0	0	0	0	0	0.0213389950820353	0	0	0	0	0	0	0	0	0	0
chr1:25268000-25270000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00459278615626942	0	0	0	0	0	0	0	0	0	0
chr1:25286000-25288000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00142385228508407	0	0	0	0	0	0	0	0	0	0
chr1:25306000-25308000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042766378835104	0	0	0	0	0	0	0	0	0	0
chr1:28294000-28296000	0	0	-0.00273599048604528	0	0	0	0	-0.000287810486533776	0	0	0	0	0	0	0	0	-0.0188168679432061	0	0	0	0	0	-0.00489291172838952	-0.000592740278574287	-0.00029916519624162	0	0
chr1:39614000-39616000	0	-0.039536217732773	-0.0319364472852757	-0.0082838073254357	-0.00528170121917094	-0.00910344944777474	-0.0240144454993391	-0.0276581649261743	-0.019132593173901	-0.0156134957704519	0	-0.0229406899674648	-0.0289035216620304	0	-0.0193743613181227	0	-0.00813610159425236	0	-0.0236111557101336	-0.0210810716558734	-0.024598455408072	-0.00804119147945794	-0.0259514857723533	-0.0202739887299026	-0.02372882265578	-0.00731649501976761	-0.0231814962973606
